PKD_Code,Industry_Name,Klasyfikacja,Lending Opp (2026),Stability (Now),Stability (2026),Transformation (Now),Transformation (2026),Est. Revenue,Est. Growth,Est. Risk %
23.62,Produkcja wyrobów budowlanych z gipsu,🛡️ Bezpieczne Przystanie,76.38271753781135,70.29021750586847,87.70717479690889,52.629999999999995,53.24961904761949,1347.4435112782085,0.17656098388351182,0.0
58.29,Działalność wydawnicza w zakresie pozostałego oprogramowania,⚠️ Wysokie Ryzyko (2026),74.35128211197505,76.02698268809796,66.68158365831634,66.53,69.1966216216213,2833.5253972125356,,4.2007959781939235
10.81,Produkcja cukru,🛡️ Bezpieczne Przystanie,73.74231193163473,40.57497919198649,84.15021807912748,52.629999999999995,53.24961904761949,8018.4187894737115,0.1279460440515514,0.0
66.11,Zarządzanie rynkami finansowymi,⚠️ Wysokie Ryzyko (2026),73.47808500529395,80.46513122662127,76.33730775132919,56.54,57.357904761905665,802.1167162647616,,10.359158542843034
58.21,Działalność wydawnicza w zakresie gier komputerowych,⚠️ Wysokie Ryzyko (2026),73.02013268654747,58.82821888800754,63.35371009474737,66.53,69.1966216216213,2183.5425296167377,,17.620150145600746
38.22,Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych,🛡️ Bezpieczne Przystanie,72.4638026338963,90.90702077701421,89.23016499922004,50.17,50.21485714285716,1535.504917293234,0.1338043898938277,0.7721970367094428
43.12,Przygotowanie terenu pod budowę,⚠️ Wysokie Ryzyko (2026),70.46896847268161,73.64183098368365,59.21138732010864,78.41,83.44390476190951,577.666401278977,,4.1377745852652765
52.22,Działalność usługowa wspomagająca transport wodny,🛡️ Bezpieczne Przystanie,69.57450918474133,85.97106933299806,67.63804319313336,55.25,56.34495238095318,2404.6683636363014,,1.724386724386818
42.13,Roboty związane z budową mostów i tuneli,🌟 Liderzy Przyszłości,69.51497519425152,48.31449007642297,65.56013197977974,78.41,83.44390476190951,5276.639030075225,0.10325151138861166,1.4033787973002916
52.24,Przeładunek towarów,⚠️ Wysokie Ryzyko (2026),69.35531896157994,59.072803324432144,76.05011245860116,55.25,56.34495238095318,4015.510323308292,0.09713444259183346,3.0160275771975193
63.91,Działalność agencji informacyjnych,🌟 Liderzy Przyszłości,69.34044307914192,41.6983344011759,54.21206007880278,66.53,69.13904761905201,674.5108716707255,,0.0
62.01,Działalność związana z oprogramowaniem,🌟 Liderzy Przyszłości,68.27891109759919,63.00150777994092,73.4907571635172,66.53,69.13904761905201,51858.39061654173,0.19386962882452252,2.3336644128855824
43.34,Malowanie i szklenie,⚠️ Wysokie Ryzyko (2026),67.83144922906237,80.90423095937614,57.776957634559764,78.41,83.44390476190951,147.99596491228112,,17.407407407407845
03.22,Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych,🛡️ Bezpieczne Przystanie,67.14082357341653,62.116579550666565,65.7586303621126,51.739999999999995,52.09342857142873,334.8500028843482,,1.4527182215385324
86.23,Praktyka lekarska dentystyczna,⚠️ Wysokie Ryzyko (2026),67.0177643934064,78.89811148234955,72.42590793754292,50.0,50.0,959.315721804538,0.3150550212114638,6.734546480597146
90.01,Działalność związana z wystawianiem przedstawień artystycznych,⚠️ Wysokie Ryzyko (2026),66.58160261713573,55.190346103328245,66.45400654283932,50.0,50.0,131.49663265305935,,50.16581632653106
52.23,Działalność usługowa wspomagająca transport lotniczy,🔹 Neutralne,65.9799649844008,73.00087697004226,58.604960080048805,55.25,56.34495238095318,6409.541293233109,0.1472936666253375,0.34539473684212396
14.12,Produkcja odzieży roboczej,🛡️ Bezpieczne Przystanie,65.85189846172477,60.162522773994,77.53687048355299,52.629999999999995,53.24961904761949,2252.4920375940274,0.16434142991325373,2.349864819989648
66.29,Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne,⚠️ Wysokie Ryzyko (2026),65.53127929234748,76.5440883737982,56.42941444708498,56.54,57.39878378378373,709.5878597122392,,5.477332419778577
85.31,"Gimnazja, licea ogólnokształcące i profilowane",🔹 Neutralne,64.3975239405238,78.79145520810991,60.99380985130948,50.0,50.0,183.27991915422172,,0.8094095847293801
43.32,Zakładanie stolarki budowlanej,⚠️ Wysokie Ryzyko (2026),64.28055366677012,40.74448352944508,58.274000702184736,78.41,83.44390476190951,754.9921954887195,0.06871142444423661,8.261275485305305
42.99,"Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane",⚠️ Wysokie Ryzyko (2026),64.23047636791452,46.805607681517564,60.788745928339175,78.41,83.44390476190951,6826.514202380902,,2.512792322521534
27.52,Produkcja nieelektrycznego sprzętu gospodarstwa domowego,🛡️ Bezpieczne Przystanie,63.72733322700052,67.44736656917111,75.80883662346783,52.629999999999995,53.24961904761949,455.0060977443609,0.36273074195498367,0.0
52.21,Działalność usługowa wspomagająca transport lądowy,⚠️ Wysokie Ryzyko (2026),62.86820341142406,40.05861691664485,50.82555614760695,55.25,56.34495238095318,27118.081393940374,,3.879609654144133
42.21,Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych,🌟 Liderzy Przyszłości,62.80231557139424,45.163323078753734,56.83593988080096,78.41,83.44390476190951,7285.823360902257,0.0366874085406339,2.049448269594734
42.11,Roboty związane z budową dróg i autostrad,🌟 Liderzy Przyszłości,62.79240472297142,50.96004682556009,53.38666331701432,78.41,83.44390476190951,50890.87675939826,0.020460236519470598,1.9310659108595019
