PKD_Code,Industry_Name,Klasyfikacja,Lending Opp (2026),Stability (Now),Stability (2026),Transformation (Now),Transformation (2026),Est. Revenue,Est. Growth,Est. Risk %
58.2,Działalność wydawnicza w zakresie oprogramowania,⚠️ Wysokie Ryzyko (2026),81.23603208228167,84.31143112224511,83.95103258665215,66.53,69.13904761905201,4052.993368421041,0.25093572724582813,5.738548924872816
60.1,Nadawanie programów radiofonicznych,🌟 Liderzy Przyszłości,73.38367235325669,33.791666293924735,64.32013326408969,66.53,69.13904761905201,1127.7771879699249,0.048200251757720025,0.0
03.1,Rybołówstwo,🛡️ Bezpieczne Przystanie,72.08015613363102,69.39138963430008,78.10696176264881,51.739999999999995,52.09342857142873,4.8003389830464585,,0.0
72.2,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych,🛡️ Bezpieczne Przystanie,70.26879740091793,59.7743117867499,74.88313635943756,50.75999999999999,50.78885714285727,814.5248796992528,0.13734425410216033,0.0
87.9,Pozostała pomoc społeczna z zakwaterowaniem,⚠️ Wysokie Ryzyko (2026),68.4311845007019,63.04537537203368,71.07796125175477,50.0,50.0,102.20969948849051,,15.963341858482181
50.2,Transport morski i przybrzeżny towarów,⚠️ Wysokie Ryzyko (2026),66.9861591103055,58.41411420150748,79.66987828340429,55.25,56.34495238095318,2636.8168721804686,0.33139584795706156,5.0179018976011776
03.2,Chów i hodowla ryb oraz pozostałych organizmów wodnych,🔹 Neutralne,66.71689016627474,62.116579550666565,64.69879684425808,51.739999999999995,52.09342857142873,332.2080691642659,,1.4175739139715802
49.5,Transport rurociągowy,🛡️ Bezpieczne Przystanie,65.56217227238842,60.25070689004165,69.94012467316402,55.25,56.34495238095318,6870.378535714233,,0.0
62.0,Działalność związana z oprogramowaniem i doradztwem w zakresie informatyki oraz dzialalność powiązana,🌟 Liderzy Przyszłości,65.55020387456285,59.150280537182454,69.3776656318055,66.53,69.13904761905201,84011.21281955019,0.176952536533034,2.493132733217635
02.2,Pozyskiwanie drewna,⚠️ Wysokie Ryzyko (2026),65.03133653150005,45.080181076290394,61.784280875509545,51.739999999999995,52.081428571428766,925.3236099976057,,7.570414166991668
42.1,Roboty związane z budową dróg kołowych i szynowych,🌟 Liderzy Przyszłości,63.22234790844724,57.29160080929427,54.532145456126116,78.41,83.44390476190951,68801.64936090354,0.03358995285293709,1.955022442666177
51.1,Transport lotniczy pasażerski,🛡️ Bezpieczne Przystanie,63.20693764227184,61.357003009849244,65.13968719291364,55.25,56.35824324324319,14541.867610514397,,1.4011078527208554
41.1,Realizacja projektów budowlanych związanych ze wznoszeniem budynków,⚠️ Wysokie Ryzyko (2026),63.1750424922957,55.42678336855486,61.389982777295785,78.41,83.44390476190951,29826.74722556444,0.1276303314316194,10.83995103945199
42.9,Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej,⚠️ Wysokie Ryzyko (2026),63.15569219224518,43.87502181070987,57.99697959624536,78.41,83.44390476190951,7235.804416666662,,2.811608657556121
66.3,Działalność związana z zarządzaniem funduszami,⚠️ Wysokie Ryzyko (2026),63.11469469930897,84.7457776803915,65.79990896500536,56.54,57.357904761905665,795.1753425480856,,10.689245650183011
52.2,Działalność usługowa wspomagająca transport,⚠️ Wysokie Ryzyko (2026),62.981069942133814,47.24937342537253,58.3738584570614,55.25,56.34495238095318,72496.10574436095,0.09358327901093721,2.8763396624492543
43.1,Rozbiórka i przygotowanie terenu pod budowę,⚠️ Wysokie Ryzyko (2026),62.516860856587414,64.08086973925278,48.93612810375418,78.41,83.44390476190951,1855.789421052621,-0.01893138361786839,5.812826364530224
42.2,"Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych",🌟 Liderzy Przyszłości,62.007409259899106,48.75244875821877,58.21565939036106,78.41,83.44390476190951,17837.6928690474,,2.1912188180091903
09.9,Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie,🔹 Neutralne,61.8183147063431,47.02757111878606,47.949501051570955,54.94,56.596285714286786,5318.0093145093415,,1.7742133684205612
86.2,Praktyka lekarska,🛡️ Bezpieczne Przystanie,61.070488765571426,74.55707234354716,70.161716928636,50.0,50.0,18310.284075187985,0.11909392418708098,1.9799747063969733
43.3,Wykonywanie robót budowlanych wykończeniowych,⚠️ Wysokie Ryzyko (2026),60.83698731875409,61.22438314191373,54.79862614424845,78.41,83.44390476190951,5144.618293233158,0.055864713275223465,11.084825563009872
25.4,Produkcja broni i amunicji,🛡️ Bezpieczne Przystanie,60.69613163882036,85.59974493438264,67.58076899940335,52.629999999999995,53.24961904761949,3845.2613690773724,,1.4781228746316515
43.2,"Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych",⚠️ Wysokie Ryzyko (2026),60.61772741514399,39.18090264350793,54.152861132341556,78.41,83.44390476190951,28374.157706766855,0.05762771990859261,5.02513038479924
63.1,Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność; działalność portali internetowych,⚠️ Wysokie Ryzyko (2026),60.41523845004638,72.66043644438874,62.959154156687326,66.53,69.13904761905201,25193.592360903043,0.20787373092796857,7.11033732413739
85.3,"Gimnazja i szkoły ponadgimnazjalne, z wyłączeniem szkół policealnych",🔹 Neutralne,60.04457702304269,77.12092705564176,57.12503427604432,50.0,50.0,230.8176512738828,,1.0633171304056361
38.2,Przetwarzanie i unieszkodliwianie odpadów,🛡️ Bezpieczne Przystanie,59.20980569656428,69.85218845726261,73.35903131951643,50.17,50.21485714285716,9476.607924812124,0.14018066890342773,1.3677750605092456
08.1,"Wydobywanie kamienia, piasku i gliny",🛡️ Bezpieczne Przystanie,58.76675690595801,76.44435028410203,66.18530083371293,54.94,56.596285714286786,9377.458571428666,0.07766284126843437,1.1495902425132272
41.2,Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych,⚠️ Wysokie Ryzyko (2026),58.23195226266954,40.99512145635369,48.827292938501685,78.41,83.44390476190951,74552.12521804543,0.01331231532850996,4.399684238060786
49.1,Transport kolejowy pasażerski międzymiastowy,🔹 Neutralne,58.18421846241062,71.98634658350512,62.34129641570093,55.25,56.34495238095318,10810.81619047618,,2.2738095238095184
68.3,Działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie,🛡️ Bezpieczne Przystanie,57.95529257276416,62.63587378687892,66.4849039021738,50.11,50.11676190476193,28162.58494736883,0.06326645614659743,0.7835874079801215
23.5,"Produkcja cementu, wapna i gipsu",🛡️ Bezpieczne Przystanie,57.81626833500911,84.16707214851907,72.60607803583378,52.629999999999995,53.24961904761949,11962.035924812197,0.07866365470931536,0.5263157894737134
02.4,Działalność usługowa związana z leśnictwem,⚠️ Wysokie Ryzyko (2026),57.55734681344743,46.47366695216866,62.96837769598237,51.739999999999995,52.09342857142873,1042.2368120301107,0.07697201877952153,2.946393093234178
74.9,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana",⚠️ Wysokie Ryzyko (2026),57.276170242237605,63.13188489634809,70.50794870395646,50.75999999999999,50.78885714285727,1846.6550827067986,0.1696022107295896,5.9708946478492635
69.2,Działalność rachunkowo-księgowa; doradztwo podatkowe,🛡️ Bezpieczne Przystanie,57.26703584463782,71.43978985849782,68.56175221599578,50.75999999999999,50.78885714285727,18053.82554135355,0.1354311961678536,2.1579179954496794
85.1,Wychowanie przedszkolne,🔹 Neutralne,56.63053755074347,73.73647646897007,52.677334732550015,50.0,50.0,979.8224705882458,,1.8522142531224972
55.1,Hotele i podobne obiekty zakwaterowania,🔹 Neutralne,56.372975291009965,59.70537760590145,61.365207281453785,51.83,52.24752380952415,12597.459345864598,0.19769028387654686,2.1294223795882488
01.5,Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana),⚠️ Wysokie Ryzyko (2026),56.256064537308035,56.95180021908239,53.02382175987786,51.739999999999995,52.09342857142873,7083.029669172884,-0.08327593213433104,24.581389770467013
63.9,Pozostała działalność usługowa w zakresie informacji,⚠️ Wysokie Ryzyko (2026),55.909680869011595,40.147233125070635,46.86560779442809,66.53,69.13904761905201,1252.7863233082753,0.08580694971626102,3.3393491569426033
72.1,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych,🔹 Neutralne,55.822502984369564,52.834402242240664,57.05832114519638,50.75999999999999,50.78885714285727,21714.05193984974,0.1509359501905898,2.1022127717838544
30.3,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn",🛡️ Bezpieczne Przystanie,55.45380735497992,65.71571269171173,66.23039734075074,52.629999999999995,53.24961904761949,16370.740759398323,0.14312137157922872,1.9894247814658854
26.6,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego",🔹 Neutralne,54.91507418957087,45.68262551975408,59.44094708812998,52.629999999999995,54.33000000000088,364.8359173126664,,0.0
58.1,"Wydawanie książek i periodyków oraz pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania",⚠️ Wysokie Ryzyko (2026),54.774765041615545,47.44410487068924,49.024916227207314,66.53,69.13904761905201,7654.475699248069,-0.0335082567777647,2.6266865731961957
43.9,Pozostałe specjalistyczne roboty budowlane,⚠️ Wysokie Ryzyko (2026),54.69618539938752,44.081153771213216,42.35291677909227,78.41,83.44390476190951,14717.126526315697,-0.019851627971863905,3.7396372856372864
37.0,Odprowadzanie i oczyszczanie ścieków,🔹 Neutralne,54.3313176120063,53.67168192221106,57.70512445319018,50.17,50.21485714285716,14027.320127819548,0.09065992466140305,0.1838455488801749
55.2,Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania,⚠️ Wysokie Ryzyko (2026),54.05113192327842,60.34796392131074,49.352413860296096,51.83,52.275588235294265,1222.2044751381763,,8.440633156326157
68.2,Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi,⚠️ Wysokie Ryzyko (2026),53.80465540603555,56.80076366890734,56.5344330691945,50.11,50.11676190476193,23967.475413534325,0.12646434264607542,4.411365060581147
69.1,Działalność prawnicza,⚠️ Wysokie Ryzyko (2026),53.61717928095302,77.99110273270252,65.12543630154998,50.75999999999999,50.78885714285727,4916.596461126173,,4.064465941582625
23.9,"Produkcja wyrobów ściernych i pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana",⚠️ Wysokie Ryzyko (2026),53.52688706236828,43.056464843193595,61.577360939353895,52.629999999999995,53.24961904761949,9073.97923308285,0.06087846393511742,3.217498778762547
38.1,Zbieranie odpadów,🛡️ Bezpieczne Przystanie,53.380892191444836,76.81775566654113,67.92402058158385,50.17,50.21485714285716,19948.08742105309,0.10888980904368628,0.6745731145117588
66.1,"Działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych",⚠️ Wysokie Ryzyko (2026),53.160894664226305,61.03747590084365,47.277284368927624,56.54,57.357904761905665,32721.04560150369,0.007762598036716639,4.502630282552104
10.7,Produkcja wyrobów piekarskich i mącznych,🛡️ Bezpieczne Przystanie,53.00535125285227,65.3406133636327,65.31338834295325,52.629999999999995,53.24961904761949,25506.8750225564,0.09720223960501562,2.472859619098074
81.3,Działalność usługowa związana z zagospodarowaniem terenów zieleni,⚠️ Wysokie Ryzyko (2026),52.920811058305034,58.24270626005236,52.26778943988673,50.0,50.0,1229.1896240601636,0.005078857515435686,4.6775228406277165
66.2,Działalność wspomagająca ubezpieczenia i fundusze emerytalne,⚠️ Wysokie Ryzyko (2026),52.783881586388425,70.94116258241985,55.87079150380563,56.54,57.357904761905665,9961.940436408855,,4.408497903557304
01.1,Uprawy rolne inne niż wieloletnie,⚠️ Wysokie Ryzyko (2026),52.75922053379154,39.42220304565449,59.77619439842179,51.739999999999995,52.09342857142873,6475.152721804567,0.08127527851747507,7.360312126082704
13.2,Produkcja tkanin,🔹 Neutralne,52.63310313014325,41.20177239502317,62.26311586865343,52.629999999999995,53.24961904761949,833.236714285722,0.05120695422281507,1.9851906512523385
52.1,Magazynowanie i przechowywanie towarów,🛡️ Bezpieczne Przystanie,52.45892071388727,69.31974019011562,67.63313159011669,55.25,56.34495238095318,27096.185834586155,0.19027754534264574,1.7434014628734644
