PKD_Code,Industry_Name,Year,Entity_Count,Revenue,Liabilities_Long,Net_Profit,Profitable_Ent,Liabilities_Short,Bankruptcy_Count,Profitability,Bankruptcy_Rate,Total_Debt,Revenue_Prev_Year,Dynamics_YoY,Sector,Norm_Profit,Norm_Dynamics,Stability_Score,AI_Hype_Mock,Transformation_Score,Status
10.8,Produkcja pozostałych artykułów spożywczych,2005,247.0,19806.96,1033.22,730.3,193.0,5884.84,0.0,0.7813765182186235,0.0,6918.06,,0.0,Ogólny,0.7813765182186235,0.0,46.88259109311741,0.3584657285442726,10.753971856328178,Neutral
10.81,Produkcja cukru,2005,24.0,4980.4,237.4,4.24,16.0,2733.72,0.0,0.6666666666666666,0.0,2971.12,,0.0,Ogólny,0.6666666666666666,0.0,40.0,0.11586905952512971,3.476071785753891,Neutral
10.82,"Produkcja kakao, czekolady i wyrobów cukierniczych",2005,70.0,4613.64,228.27,141.76,57.0,1121.72,0.0,0.8142857142857143,0.0,1349.99,,0.0,Ogólny,0.8142857142857143,0.0,48.857142857142854,0.8631034258755935,25.893102776267806,Neutral
10.83,Przetwórstwo herbaty i kawy,2005,27.0,1495.45,218.25,62.58,18.0,407.74,0.0,0.6666666666666666,0.0,625.99,,0.0,Ogólny,0.6666666666666666,0.0,40.0,0.6232981268275579,18.698943804826737,Neutral
10.84,Produkcja przypraw,2005,38.0,2641.53,63.47,178.03,33.0,558.81,0.0,0.868421052631579,0.0,622.28,,0.0,Ogólny,0.868421052631579,0.0,52.10526315789473,0.3308980248526492,9.926940745579476,Neutral
10.85,Wytwarzanie gotowych posiłków i dań,2005,13.0,231.79,18.98,4.88,11.0,55.6,0.0,0.8461538461538461,0.0,74.58,,0.0,Ogólny,0.8461538461538461,0.0,50.76923076923077,0.06355835028602363,1.9067505085807088,Neutral
10.86,Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej,2005,7.0,445.86,50.46,12.59,7.0,107.68,0.0,1.0,0.0,158.14000000000001,,0.0,Ogólny,1.0,0.0,60.0,0.3109823217156622,9.329469651469866,Neutral
10.89,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana",2005,68.0,5398.29,216.4,326.2,51.0,899.58,0.0,0.75,0.0,1115.98,,0.0,Ogólny,0.75,0.0,44.99999999999999,0.32518332202674705,9.75549966080241,Neutral
10.9,Produkcja gotowych paszy i karmy dla zwierząt,2005,117.0,7020.29,259.27,365.61,100.0,1124.0,0.0,0.8547008547008547,0.0,1383.27,,0.0,Ogólny,0.8547008547008547,0.0,51.28205128205128,0.7296061783380641,21.888185350141924,Neutral
10.91,Produkcja gotowej paszy dla zwierząt gospodarskich,2005,104.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.6375574713552131,19.126724140656393,Neutral
10.92,Produkcja gotowej karmy dla zwierząt domowych,2005,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.8872127425763265,26.616382277289794,Neutral
11.,PRODUKCJA NAPOJÓW,2005,211.0,22794.01,1567.43,1144.16,148.0,5181.8,0.0,0.7014218009478673,0.0,6749.2300000000005,,0.0,Ogólny,0.7014218009478673,0.0,42.08530805687204,0.4722149251619493,14.166447754858478,Neutral
11.0,Produkcja napojów,2005,211.0,22794.01,1567.43,1144.16,148.0,5181.8,0.0,0.7014218009478673,0.0,6749.2300000000005,,0.0,Ogólny,0.7014218009478673,0.0,42.08530805687204,0.1195942459383017,3.5878273781490506,Neutral
11.01,"Destylowanie, rektyfikowanie i mieszanie alkoholi",2005,50.0,6502.79,78.81,62.0,31.0,1236.62,0.0,0.62,0.0,1315.4299999999998,,0.0,Ogólny,0.62,0.0,37.2,0.713244787222995,21.39734361668985,Neutral
11.02,Produkcja win gronowych,2005,5.0,427.43,52.79,14.07,4.0,157.92,0.0,0.8,0.0,210.70999999999998,,0.0,Ogólny,0.8,0.0,48.0,0.7607850486168974,22.823551458506923,Neutral
11.03,Produkcja cydru i pozostałych win owocowych,2005,30.0,849.95,24.22,6.21,22.0,198.43,0.0,0.7333333333333333,0.0,222.65,,0.0,Ogólny,0.7333333333333333,0.0,43.99999999999999,0.5612771975694962,16.83831592708489,Neutral
11.04,Produkcja pozostałych niedestylowanych napojów fermentowanych,2005,3.0,121.45,3.64,2.38,3.0,47.07,0.0,1.0,0.0,50.71,,0.0,Ogólny,1.0,0.0,60.0,0.770967179954561,23.129015398636827,Neutral
11.05,Produkcja piwa,2005,34.0,9248.63,762.41,996.81,21.0,1827.75,0.0,0.6176470588235294,0.0,2590.16,,0.0,Ogólny,0.6176470588235294,0.0,37.05882352941177,0.49379559636439074,14.813867890931723,Neutral
11.06,Produkcja słodu,2005,7.0,397.1,55.84,20.32,7.0,118.81,0.0,1.0,0.0,174.65,,0.0,Ogólny,1.0,0.0,60.0,0.5227328293819941,15.68198488145982,Neutral
